FLIGHT_ID,AIRLINE,DEPARTURE_CITY,ARRIVAL_CITY,DEPARTURE_TIME,ARRIVAL_TIME,FLIGHT_DURATION,AIRCRAFT_TYPE,CAPACITY,SEATS_AVAILABLE,ECONOMY_PRICE,BUSINESS_PRICE,DAYS_OPERATING,OPERATING_PERIOD
FL055,LH,FRA,MXP,10:00,12:00,120,Airbus A320,195,58,140,420,Daily,2025-01-01 to 2025-12-31
FL060,AF,CDG,VIE,07:00,09:00,120,Airbus A321,220,42,145,435,Daily,2025-01-01 to 2025-12-31
FL065,KL,AMS,BUD,10:30,13:15,165,Boeing 737,180,48,160,480,Tue-Thu-Sat,2025-01-01 to 2025-12-31
FL070,UA,JFK,BCN,09:00,21:30,625,Boeing 747,350,25,750,2000,Fri-Sat,2025-01-01 to 2025-12-31
FL075,BA,LHR,PRG,10:00,12:45,165,Airbus A321,220,62,175,525,Daily,2025-01-01 to 2025-12-31
FL080,LH,MUC,BUD,09:15,11:00,105,Airbus A319,144,55,125,375,Daily,2025-01-01 to 2025-12-31
FL085,AF,CDG,MXP,08:00,10:00,120,Airbus A320,195,51,135,405,Daily,2025-01-01 to 2025-12-31
FL090,KL,AMS,PRG,11:00,13:30,150,Airbus A320,195,67,140,420,Daily,2025-01-01 to 2025-12-31
FL095,UA,EWR,FCO,10:00,22:00,545,Boeing 777,420,31,720,1920,Tue-Thu-Sat,2025-01-01 to 2025-12-31
FL100,BA,LHR,MXP,08:30,11:00,150,Boeing 737,180,43,200,600,Daily,2025-01-01 to 2025-12-31
